#SampleID	seqs	remove	Study	Birth_mode	ID	Litter	Cage	1male0fem	MLNCD3 CD19/all	MLNNK1,1/CD3 (NKT cells)	MLNCD1d/CD3 (iNKT cells)	MLNNK1,1 CD3-/all (NK cells)	MLNNK1,1 CD3/all (NKT cells.	SpleenCD3 CD19/all	SpleenNK1,1/CD3 (NKT cells)	SpleenCD1d/CD3 (iNKT cells)	SpleenNK1,1 CD3-/all (NK cells)	SpleenNK1,1 CD3/all (NKT cells.	SpleenCD4+  	MLNCD4+  	MLNFoxP3/CD4	MLNFoxP3 CD103/CD4	MLNCD69/FoxP3 CD4	MLNCD103/FoxP3 CD4	MLNCD69/CD4	SPLEENCD4+  	SPLEENFoxP3/CD4	SPLEENFoxP3 CD103/CD4	SPLEENCD69/FoxP3 CD4	SPLEENCD103/FoxP3 CD4	SPLEENCD69/CD4	SPLEENCD69 FoxP3/CD4
 LNE02.LNE02.11	87627	s	Feces	Vaginal	V11	7	13	0						31.09%	2.59%	1.55%	4.21%	1.85%								18.71%	13.17%	1.14%	14.88%	9.09%	3.05%	1.25%
 LNE02.LNE02.12	97818	s	Feces	Vaginal	V12	7	14	1	57.24%	3.42%	0.74%	3.74%	3.44%	30.72%	4.01%	0.88%	6.64%	3.21%	35.08%	14.05%	2.56%	24.84%	20.29%	7.07%	2.47%	18.47%	13.85%	1.37%	23.02%	9.13%	5.33%	2.36%
 LNE02.LNE02.13	80285	s	Feces	Vaginal	V13	7	14	1	58.03%	3.80%	0.88%	2.28%	4.26%	34.39%	2.98%	1.15%	5.29%	2.46%	37.30%	13.26%	3.18%	27.46%	25.41%	6.60%	2.55%	21.01%	13.28%	1.83%	17.39%	11.96%	3.80%	1.35%
 LNE02.LNE02.14	113716	s	Feces	Vaginal	V14	7	14	1	52.76%	5.41%	0.85%	5.01%	5.06%						36.34%	15.79%	4.17%	35.62%	27.85%	10.08%	4.11%	16.27%	14.13%	1.93%	18.94%	11.89%	4.05%	1.99%
 LNE02.LNE02.15	96598	s	Feces	Vaginal	V15	8	15	0	57.76%	2.25%	0.73%	2.78%	2.45%	33.22%	2.88%	0.94%	4.67%	2.16%	36.11%	15.34%	3.48%	33.27%	24.72%	9.75%	3.93%	20.70%	12.25%	1.76%	14.00%	14.80%	3.33%	0.98%
 LNE02.LNE02.16	63196	s	Feces	Vaginal	V16	8	16	1						36.85%	2.82%	1.36%	4.51%	2.06%								21.54%	13.10%	1.32%	14.34%	9.32%	3.15%	1.13%
 LNE02.LNE02.17	86862	s	Feces	Vaginal	V17	8	16	1						32.91%	2.63%	1.12%	4.61%	1.97%								18.32%	10.84%	1.22%	9.69%	11.22%	1.33%	0.44%
 LNE02.LNE02.18	79838	s	Feces	C-section	C1	1	1	0	53.75%	2.90%	0.58%	3.33%	2.87%	31.81%	2.63%	1.18%	5.30%	1.92%	35.05%	13.78%	3.15%	28.26%	23.48%	9.32%	2.79%	20.18%	12.17%	1.81%	13.64%	13.22%	4.07%	0.96%
 LNE02.LNE02.19	78149	s	Feces	C-section	C2	1	1	0	55.06%	1.61%	0.56%	2.12%	1.94%	33.51%	3.09%	1.14%	4.76%	2.46%	33.16%	10.82%	1.83%	21.78%	20.63%	5.58%	1.55%	20.31%	12.79%	1.34%	16.34%	13.23%	3.73%	1.04%
 LNE02.LNE02.20	94351	s	Feces	C-section	C3	1	2	1	45.63%	1.80%	2.08%	1.91%	1.42%	33.93%	2.85%	1.61%	5.42%	2.15%	30.81%	10.61%	1.81%	18.32%	17.70%	4.31%	1.28%	17.82%	14.74%	1.54%	20.08%	10.42%	3.59%	1.65%
 LNE02.LNE02.21	54186	s	Feces	C-section	C4	2	3	0	48.09%	0.59%	1.88%	0.84%	0.62%	27.47%	1.87%	1.73%	5.10%	1.85%	31.76%	11.93%	2.70%	24.25%	23.43%	5.95%	1.88%	17.65%	11.43%	1.33%	14.72%	12.69%	2.67%	1.04%
 LNE02.LNE02.22	84039	s	Feces	C-section	C5	2	3	0	45.07%	0.90%	2.15%	1.56%	0.69%	26.58%	4.22%	2.16%	5.08%	2.40%	29.77%	10.09%	2.74%	24.39%	29.62%	6.99%	1.58%	14.73%	12.72%	1.18%	14.67%	7.61%	2.97%	1.04%
 LNE02.LNE02.23	91945	s	Feces	C-section	C6	2	4	0	51.69%	2.04%	1.08%	3.35%	2.19%	28.80%	2.76%	1.45%	5.51%	1.91%	30.87%	13.41%	2.68%	29.14%	21.23%	6.92%	2.85%							
 LNE02.LNE02.24	74952	s	Feces	C-section	C7	2	4	0	56.15%	2.30%	0.76%	2.92%	2.44%	36.58%	3.07%	2.07%	4.98%	2.48%	30.48%	13.84%	2.73%	27.74%	23.36%	7.34%	2.90%	18.77%	13.94%	1.73%	21.32%	10.85%	3.40%	1.62%
 LNE02.LNE02.25	95568	s	Feces	C-section	C8	3	5	0						34.28%	3.54%	2.92%	4.70%	2.41%	23.90%	11.80%	1.27%	26.26%	12.23%	7.86%	2.00%	23.04%	13.16%	1.49%	14.67%	10.00%	4.30%	1.40%
 LNE02.LNE02.26	35928	s	Feces	C-section	C9	3	5	0	54.39%	2.46%	1.30%	3.20%	2.86%	36.22%	3.99%	3.32%	4.94%	2.86%	30.92%	15.40%	2.05%	23.18%	15.88%	7.50%	2.48%	23.41%	13.39%	1.38%	16.13%	10.32%	3.67%	1.38%
 LNE02.LNE02.27	91699	s	Feces	C-section	C10	3	5	0	58.55%	2.62%	1.28%	2.71%	2.76%	34.15%	4.53%	2.92%	6.18%	3.09%	34.66%	13.66%	1.91%	21.55%	16.59%	6.18%	1.59%	22.67%	12.99%	1.88%	19.24%	12.71%	4.02%	1.47%
 LNE02.LNE02.28	85076	s	Feces	C-section	C11	3	6	1	52.39%	4.29%	1.31%	3.78%	3.99%	25.42%	5.45%	2.83%	5.85%	3.19%	32.46%	12.65%	1.94%	27.72%	17.08%	7.23%	2.19%	16.84%	11.83%	1.03%	20.92%	10.20%	4.28%	1.63%
 LNE02.LNE02.29	69899	s	Feces	C-section	C12	4	7	0	52.84%	3.96%	1.74%	2.82%	3.74%	31.77%	3.28%	2.85%	4.97%	2.15%	34.96%	12.50%	2.16%	21.45%	20.05%	5.16%	1.87%	18.05%	12.64%	1.46%	16.89%	11.11%	3.15%	0.96%
 LNE02.LNE02.30	89762	s	Feces	C-section	C13	4	8	1	49.69%	2.89%	1.40%	2.42%	2.63%	29.43%	3.17%	2.21%	4.50%	2.37%	34.27%	12.19%	2.29%	22.68%	20.98%	5.38%	1.43%	18.01%	12.61%	1.35%	16.52%	9.82%	4.73%	1.29%
 LNE02.LNE02.31	89111	s	Feces	C-section	C14	4	8	1	51.04%	2.29%	0.90%	2.69%	2.18%	31.99%	3.72%	1.83%	4.87%	2.98%	34.09%	13.13%	2.21%	21.82%	18.18%	5.52%	1.73%	17.22%	12.45%	1.70%	15.09%	11.79%	3.52%	1.41%
